whole_text,tweet_time,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_position,max_z_next5
"When the 10b preprogrammed sales complete. There are still a few tranches left, but almost done.",2021-12-22 20:44:00,0,1,0,0,0.2469,0.0069,0.7462,2.443,0.454,0.001,0.579,0.728,-0.824
Most people still have no idea that sustainable energy generation is growing so fast,2021-12-27 20:16:00,0,1,0,0,0.1031,0.415,0.4818,0.116,-1.381,0.001,0.337,0.233,-1.237
Ashok was the first person recruited from my tweet saying that Tesla is starting an Autopilot team!,2021-12-29 16:22:00,1,1,0,0,0.3765,0.0051,0.6184,-0.655,-1.024,0.001,0.456,0.799,0.27
"If history is any guide, not many will make it past the next recession",2021-12-30 18:15:00,0,1,0,0,0.0859,0.5358,0.3782,1.329,-3.281,0.0,0.867,0.339,0.523
Reminds me of when I hex edited Ultima V to get out of the final maze,2022-01-03 18:44:00,0,1,0,0,0.0833,0.1574,0.7593,1.37,0.387,0.001,0.826,0.606,1.264
"If the alarming collapse in birth rate continues, civilization will indeed die with a whimper in adult diapers",2022-01-10 15:37:00,0,1,0,0,0.0106,0.884,0.1053,-3.047,0.035,0.005,0.289,0.0,-1.382
Almost all input is error. Car should do the right thing automatically.,2022-01-13 20:28:00,0,1,0,0,0.0107,0.8305,0.1588,-2.472,0.121,0.002,0.19,0.0,0.557
I see where Frank Herbert got some of his ideas,2022-01-18 15:44:00,0,1,0,0,0.1181,0.0736,0.8082,-0.891,2.348,0.002,0.348,0.674,1.445
Starts with a T Ends with an A ESL in the middle,2022-01-27 17:48:00,0,1,0,0,0.0548,0.049,0.8962,-0.676,-1.147,0.002,0.29,0.096,1.732
: Non-Tesla vehicles can now charge at select Superchargers in France and Norway via the Tesla app. Learn more at,2022-01-31 17:01:00,1,0,0,1,0.1009,0.0056,0.8934,-1.577,0.566,0.001,0.228,0.0,-0.801
"They’ve been writing bogus articles about Tesla (and me) for years. In the end, it is their own credibility that suffers.",2022-01-31 19:33:00,1,1,0,0,0.0067,0.9226,0.0706,1.222,-0.846,0.001,0.494,0.395,0.542
"He’s actually a lobbyist, not a journalist. There are many who pose as the latter while behaving like the former. No integrity. Indeed, there were no safety issues. The car simply slowed to ~2 mph & continued forward if clear view with no cars or pedestrians.",2022-02-01 20:47:00,0,1,0,0,0.0181,0.6567,0.3251,0.305,1.267,0.001,0.308,0.987,1.902
"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long. Note, Starlink can only support a limited number of users in an area, so best to order early.",2022-02-02 16:43:00,0,1,0,0,0.7789,0.0074,0.2137,-2.143,-0.181,0.003,0.332,0.335,0.733
: Watch Falcon 9 launch 49 Starlink satellites to orbit →,2022-02-03 18:14:00,0,0,0,1,0.0946,0.006,0.8994,-2.973,0.471,0.002,0.768,0.0,-0.249
"The Falcon 9 rocket has now flown more consecutive successful missions, 111, than any orbital rocket in history. Congrats SpaceX Falcon team!",2022-02-03 20:50:00,0,0,1,0,0.9851,0.0019,0.013,-2.248,-0.239,0.002,0.261,0.109,-1.183
It was so crazy! The insane tweet FUD campaign & press hatestream of 2017-2019 is still easily found.,2022-02-07 19:12:00,0,1,0,0,0.0889,0.6074,0.3038,-1.565,-0.864,0.001,0.461,0.223,0.016
We dropped the ball badly regarding new Model X production ramp & still haven’t fully recovered. Was idiotic to stop production of old X in Dec 2020 when there was still plenty of demand!,2022-02-09 20:14:00,1,1,0,0,0.0095,0.9051,0.0854,-2.404,0.161,0.001,0.219,0.266,1.072
Car should also reverse slightly if it peeks into an intersection & sees fast-moving cross-traffic (just like a person would),2022-02-11 19:52:00,0,1,0,0,0.0702,0.0517,0.8781,-2.012,-0.358,0.002,0.379,0.0,-0.651
: Exciting time in commercial spaceflight. Polaris Program will undertake a series of tech demo 🐉 missions culminating in f…,2022-02-14 15:42:00,0,0,0,1,0.9613,0.0021,0.0365,3.457,2.321,0.002,0.62,1.0,5.216
"Wow, that’s a lot of podcasts! Ok, I will do one. Maybe we could combine with Dave Lee and a few others.",2022-02-14 18:00:00,0,1,0,0,0.9232,0.0037,0.0731,-2.43,0.37,0.003,0.756,0.0,-0.863
: You can now customize how your Tesla appears on the screen and app with the Car Colorizer,2022-02-17 19:43:00,1,0,0,1,0.2156,0.0069,0.7776,0.825,1.871,0.001,0.385,0.495,-0.433
"Small changes usually affect production for less than an hour, as they’re applied to a few stations during breaks. Big changes may impact output for a day or two. Reversing out big changes or unexpected parts shortages are what impact several days.",2022-02-22 18:55:00,0,1,0,0,0.0511,0.2163,0.7326,-2.449,2.622,0.002,0.486,0.0,0.388
"I didn’t start the fight, but I will finish it.",2022-02-23 19:14:00,0,1,0,0,0.1195,0.1643,0.7161,0.831,-1.731,0.001,0.33,0.236,1.599
: Watch Falcon 9 launch 50 Starlink satellites to orbit →,2022-02-25 17:50:00,0,0,0,1,0.1336,0.0054,0.861,-2.511,2.455,0.001,0.55,0.0,-6.342
Swipe down on navigate button to navigate home or to work if at home,2022-03-01 20:43:00,0,1,0,0,0.085,0.014,0.901,-1.624,-2.05,0.001,0.211,0.515,-5.935
"Solar panels + battery pack better than generator, as no heat signature or smoke & doesn’t run out of fuel",2022-03-02 19:09:00,0,1,0,0,0.5131,0.0485,0.4384,2.865,0.243,0.002,0.521,1.0,2.156
"Solar area will need to be higher with obscuration, but works better than one might think",2022-03-02 20:07:00,0,1,0,0,0.6366,0.029,0.3344,2.052,-0.366,0.003,0.671,0.783,0.694
: Watch Falcon 9 launch 47 Starlink satellites to orbit →,2022-03-03 16:01:00,0,0,0,1,0.115,0.0058,0.8792,-2.191,1.922,0.002,0.486,0.183,-0.513
This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW,2022-03-03 16:24:00,1,1,0,0,0.0219,0.5867,0.3914,2.259,0.819,0.003,0.487,1.0,2.582
"Updating software to reduce peak power consumption, so Starlink can be powered from car cigarette lighter. Mobile roaming enabled, so phased array antenna can maintain signal while on moving vehicle.",2022-03-03 17:50:00,0,1,0,0,0.224,0.0161,0.7599,-2.563,-0.59,0.001,0.296,0.0,-0.679
"In class action lawsuits, the actual plaintiff is always the class action law firm. They just find someone willing to serve as a puppet to “represent the class”.",2022-03-03 18:02:00,0,1,0,0,0.0384,0.464,0.4977,-1.108,-0.885,0.001,0.524,0.634,3.317
Ich möchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend! 🇩🇪 🇩🇪,2022-03-04 19:17:00,0,1,0,0,0.6605,0.0206,0.3189,-2.753,2.529,0.001,0.482,0.0,-1.238
"Yeah, I did manage to throw the world champion sumo wrestler, but at the cost of smashing a disc in my neck that caused me insane back pain for 7 years!",2022-03-14 14:38:00,0,1,0,0,0.0819,0.6676,0.2506,-1.954,0.051,0.004,0.375,0.425,0.433
"SpaceX default plan was ~65% of global launch mass to orbit this year. Incremental demand might take that to ~70%, so not a major change. Those numbers don’t count Starship. Rough math is ~16 tons * 50 launches = 800 tons. Rest of world is <400 tons (mostly China).",2022-03-21 18:59:00,0,1,0,0,0.0602,0.1716,0.7682,-2.268,0.559,0.002,0.418,0.077,-1.358
"First Starship orbital flight will be with Raptor 2 engines, as they are much more capable & reliable. 230 ton or ~500k lb thrust at sea level. We’ll have 39 flightworthy engines built by next month, then another month to integrate, so hopefully May for orbital flight test.",2022-03-21 19:19:00,0,1,0,0,0.8571,0.0034,0.1395,1.747,-0.564,0.001,0.339,0.473,0.522
: NASA has ordered six additional resupply missions from SpaceX! Dragon will continue to deliver critical cargo an…,2022-03-25 16:08:00,0,0,0,1,0.5555,0.0035,0.441,1.28,-1.281,0.002,0.41,0.968,3.52
: Payloads for our upcoming fourth dedicated smallsat rideshare mission – Transporter-4 – were encapsulated into Falcon 9’s fairi…,2022-03-28 19:01:00,0,0,0,1,0.2083,0.0058,0.7859,3.104,2.616,0.001,0.369,0.945,2.593
UAW slogan – “Fighting for the right to embezzle money from auto workers!”,2022-03-29 18:25:00,0,1,0,0,0.1414,0.1743,0.6843,-1.155,-2.431,0.001,0.333,0.538,1.067
I mean we’re basically identical – a few differences maybe …,2022-03-29 19:06:00,0,1,0,0,0.2658,0.0287,0.7056,-0.827,-0.23,0.001,0.322,0.73,2.035
"FSD Beta should be available in Europe for LHD this summer, RHD a few months later. These dates depend on regulatory approval.",2022-03-29 19:34:00,0,1,0,0,0.2025,0.0051,0.7924,0.81,-2.197,0.0,0.269,0.68,4.034
"Yes, but we take a very cautious approach to safety. As we confirm functionality on Canadian roads, the beta will expand.",2022-03-31 18:07:00,0,1,0,0,0.138,0.0448,0.8172,-2.506,0.167,0.001,0.804,0.022,-1.24
Spain should build a massive solar array. Could power all of Europe.,2022-04-04 17:33:00,0,1,0,0,0.5392,0.0424,0.4184,2.295,2.357,0.003,0.448,0.868,1.287
: Falcon 9 launches the first all-private human spaceflight mission to the,2022-04-08 18:15:00,0,0,0,0,0.3992,0.0117,0.5892,2.773,-1.776,0.001,0.366,1.0,1.844
Smooth video courtesy of bolting Starlinks to the deck. They are able to handle high vibration & acoustics.,2022-04-08 18:28:00,0,1,0,0,0.9063,0.0051,0.0886,-2.432,1.477,0.002,0.477,0.0,-0.794
"Price of lithium has gone to insane levels! Tesla might actually have to get into the mining & refining directly at scale, unless costs improve. There is no shortage of the element itself, as lithium is almost everywhere on Earth, but pace of extraction/refinement is slow.",2022-04-08 18:59:00,1,1,0,0,0.0419,0.6772,0.2809,1.436,-0.776,0.001,0.438,0.628,-0.55
Will endeavor to keep as many shareholders in privatized Twitter as allowed by law,2022-04-14 19:06:00,0,1,0,0,0.1803,0.0536,0.7661,1.5,0.14,0.001,0.838,0.912,0.273
"Absolutely. It would be utterly indefensible not to put this offer to a shareholder vote. They own the company, not the board of directors.",2022-04-14 19:26:00,0,1,0,0,0.0109,0.7988,0.1903,-0.091,-1.528,0.001,0.226,0.431,0.351
A social media platform’s policies are good if the most extreme 10% on left and right are equally unhappy,2022-04-19 18:25:00,0,0,0,0,0.1552,0.3343,0.5105,3.837,-2.845,0.001,0.637,1.0,5.02
: Watch Falcon 9 launch 53 Starlink satellites to orbit →,2022-04-21 17:59:00,0,0,0,1,0.1104,0.0058,0.8838,-2.663,1.983,0.002,0.65,0.0,-3.153
": Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s 12th launch and landin…",2022-04-21 18:15:00,0,0,0,1,0.5385,0.0044,0.4571,-3.021,2.516,0.003,0.516,0.0,-0.223
"Agreed. I wish JB & I had just moved forward to commercialize the Tzero without adding other partners. In the end, that’s what happened anyway.",2022-04-21 18:37:00,0,0,0,0,0.0301,0.537,0.4329,1.604,2.256,0.002,0.468,1.0,-0.716
Tesla is really a dozen or more startups if you look at all the things created from scratch that aren’t present in other car companies,2022-04-21 19:12:00,1,1,0,0,0.2309,0.1055,0.6636,-2.499,0.174,0.001,0.345,0.021,3.421
"I hope that even my worst critics remain on Twitter, because that is what free speech means",2022-04-25 16:12:00,0,0,0,0,0.5544,0.103,0.3426,2.47,0.369,0.003,0.515,0.826,1.928
Can someone please give the NPCs a bigger dialogue tree!?,2022-04-26 18:02:00,0,1,0,0,0.1842,0.3211,0.4947,-2.348,2.32,0.002,0.73,0.0,-0.004
The extreme antibody reaction from those who fear free speech says it all,2022-04-26 18:26:00,0,0,0,0,0.0111,0.8284,0.1606,1.413,1.597,0.002,0.468,1.0,1.459
"By “free speech”, I simply mean that which matches the law. I am against censorship that goes far beyond the law. If people want less free speech, they will ask government to pass laws to that effect. Therefore, going beyond the law is contrary to the will of the people.",2022-04-26 19:33:00,0,1,0,0,0.021,0.5569,0.422,-2.126,2.331,0.001,0.204,0.0,3.561
Truth Social (terrible name) exists because Twitter censored free speech,2022-04-27 17:11:00,0,1,0,0,0.008,0.8787,0.1133,1.765,-2.896,0.001,1.03,0.539,-0.048
"Almost every media outlet on Earth wrote about me acquiring Twitter, causing a massive influx of new users",2022-04-27 18:44:00,0,1,0,0,0.6379,0.0128,0.3493,-0.081,-0.145,0.002,0.609,0.814,1.728
Update probably goes to wide release next week. This is a big one.,2022-04-29 17:41:00,0,1,0,0,0.7996,0.006,0.1944,-1.225,0.74,0.002,0.406,0.0,-0.489
"No, I meant wide release to high safety score beta participants. Going to all beta participants is expected later this year.",2022-04-29 18:55:00,0,1,0,0,0.2755,0.0122,0.7124,-1.892,0.414,0.001,0.488,0.386,3.596
"They will say anything to shift support away from me. Think of it as information war, not normal dialogue.",2022-05-03 15:39:00,0,1,0,0,0.0065,0.8781,0.1153,-2.256,1.371,0.002,0.427,0.0,-0.014
"Yeah, kids starting with lots of money usually have much less motivation than those who have nothing. When we started our first company (Zip2) in 95, I had over $100k of student debt, a computer I built myself and a few thousand dollars.",2022-05-03 15:50:00,0,1,0,0,0.0561,0.5644,0.3795,2.349,-1.133,0.001,0.234,0.91,1.942
"Starlink is awesome for RV’s, camping or any activity away from cities",2022-05-03 16:28:00,0,1,0,0,0.9454,0.0047,0.0499,-1.894,2.298,0.001,0.56,0.254,-2.102
"Tesla is now over 110k direct jobs and roughly 500k indirect, factoring in suppliers",2022-05-03 16:59:00,1,1,0,0,0.2398,0.0328,0.7274,1.851,0.751,0.001,0.433,1.0,5.428
"Yeah, we paid for rent by turning the house into a nightclub & charging $5",2022-05-03 18:26:00,0,1,0,0,0.1765,0.0816,0.7419,1.23,-2.062,0.001,0.26,0.519,0.86
Who funds these organizations that want to control your access to information? Let’s investigate …,2022-05-03 19:34:00,0,0,0,0,0.0162,0.472,0.5118,0.817,-3.104,0.001,0.392,0.932,0.724
"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec & server hardware",2022-05-06 15:14:00,0,0,0,0,0.5345,0.0078,0.4576,0.257,1.436,0.002,0.348,0.917,2.9
I strongly believe that all managers in a technical area must be technically excellent. Managers in software must write great software or it’s like being a cavalry captain who can’t ride a horse!,2022-05-06 16:10:00,0,1,0,0,0.7491,0.0549,0.1959,1.783,0.365,0.003,0.491,0.538,-0.687
Interesting. Don’t forget to look on the bright side of life sometimes!,2022-05-09 15:58:00,0,1,0,0,0.963,0.0047,0.0323,2.645,1.141,0.002,0.675,1.0,1.139
"It is amazing. I visited in 2007 and also saw the Taj Mahal, which truly is a wonder of the world.",2022-05-09 17:12:00,0,1,0,0,0.9789,0.0043,0.0168,-2.878,-0.023,0.002,0.491,0.0,-1.159
And we’re all descended from a skinny shrew! Meet your grandparents^n:,2022-05-09 17:29:00,0,1,0,0,0.3285,0.0285,0.643,0.224,-0.028,0.001,1.9,0.539,3.266
"Int/Dex build, so mostly mage with some weapon skills. Shield in left hand, staff in right with rapier & claws fast switch. Change armor from heavy to medium for fast roll or tank. Move talismans around a lot. Many small hits in a row to damage stack is important. Summon!",2022-05-09 18:55:00,0,1,0,0,0.25,0.0165,0.7335,1.979,-0.68,0.002,0.39,0.759,3.174
"Without billions of miles of training data, solving self-driving is impossible",2022-05-11 19:32:00,0,1,0,0,0.0476,0.5437,0.4088,1.274,-0.403,0.001,0.201,0.362,-0.469
The whole notion of being “left wing” or “right wing” is silly. Almost no one initially agrees with the semi-random collection of policies associated with each wing. They only support those policies *after* they join the left or right mind tribe.,2022-05-12 16:27:00,0,1,0,0,0.0134,0.7093,0.2773,2.504,0.813,0.005,0.459,0.991,4.393
So how do advertisers know what they’re getting for their money? This is fundamental to the financial health of Twitter.,2022-05-16 17:17:00,0,1,0,0,0.0716,0.0669,0.8615,-2.677,0.903,0.003,0.543,0.17,-1.207
"Twitter claims that >95% of daily active users are real, unique humans. Does anyone have that experience?",2022-05-17 16:21:00,0,0,0,0,0.1412,0.0931,0.7657,1.42,0.691,0.003,0.536,0.466,1.804
"Exxon is rated top ten best in world for environment, social & governance (ESG) by S&P 500, while Tesla didn’t make the list! ESG is a scam. It has been weaponized by phony social justice warriors.",2022-05-18 16:09:00,1,0,0,0,0.0605,0.7312,0.2083,-2.619,2.376,0.003,0.449,0.0,-0.421
"I’m not surprised at all. That was to inoculate the public. As a prominent vaccine advocate, you should understand that. Yale is the epicenter of the woke mind virus attempting to destroy civilization.",2022-05-18 17:16:00,0,1,0,0,0.0389,0.6102,0.3509,-1.967,-0.208,0.003,0.291,0.182,-0.956
"In the past I voted Democrat, because they were (mostly) the kindness party. But they have become the party of division & hate, so I can no longer support them and will vote Republican. Now, watch their dirty tricks campaign against me unfold … 🍿",2022-05-18 18:44:00,0,0,0,0,0.017,0.8078,0.1753,1.198,-1.655,0.002,0.409,0.796,5.369
"Judging by the relentless hatestream from the far left, this tweet was spot on",2022-05-19 14:38:00,0,1,0,0,0.0857,0.4378,0.4766,1.426,-1.25,0.005,0.302,0.888,-0.264
"Good night, sweet maestro, and flights of angels sing thee to thy rest",2022-05-19 17:34:00,0,0,0,0,0.9186,0.0057,0.0757,1.03,0.299,0.001,0.241,1.0,0.772
: Daily reminder that your brain on Twitter is being hijacked by an algorithm designed to do one thing: maximise engagement.…,2022-05-19 18:09:00,0,0,0,1,0.0116,0.8126,0.1758,-1.876,-2.773,0.002,0.341,0.517,0.881
"Unless it is stopped, the woke mind virus will destroy civilization and humanity will never reached Mars",2022-05-19 18:30:00,0,1,0,0,0.0116,0.8866,0.1018,-1.146,1.378,0.001,0.258,0.542,3.406
"Super excited to be in Brazil for launch of Starlink for 19,000 unconnected schools in rural areas & environmental monitoring of Amazon! 🇧🇷 🌳 🛰 ♥️",2022-05-20 13:40:00,0,0,0,0,0.9796,0.0015,0.0189,-2.696,-3.212,0.004,0.898,0.13,0.31
Worth watching this interview with . The May 16 date is important.,2022-05-20 17:52:00,0,0,0,0,0.8488,0.0059,0.1453,1.49,0.504,0.004,0.459,0.441,1.293
"Their implied full name is Business Insider Trading! They just deleted the last word for being too obvious, but it’s true.",2022-05-20 18:16:00,0,1,0,0,0.0759,0.2815,0.6426,1.195,-2.269,0.002,0.428,0.555,-3.024
"?? Sussmann himself admitted billing Clinton Campaign to pay for him to present Russia hoax to FBI! This is not even questioned by the defense. Btw, I donated to & voted for Hillary, so am doubly pissed off about those funds being used for lying.",2022-05-20 19:25:00,0,1,0,0,0.0139,0.8388,0.1473,0.017,-0.176,0.002,0.266,0.16,5.443
I only heard about it last month and was blown away,2022-05-20 19:43:00,0,1,0,0,0.8388,0.0255,0.1357,2.34,0.684,0.005,0.241,1.0,1.38
Netflix documentary about returning astronauts to orbit after Space Shuttle program ended,2022-05-23 13:55:00,0,0,0,0,0.0744,0.0548,0.8709,-2.496,-1.699,0.004,0.331,0.0,-3.538
USA birth rate has been below min sustainable levels for ~50 years,2022-05-24 13:51:00,0,0,0,0,0.012,0.7926,0.1954,-1.639,-0.824,0.005,0.23,0.004,-0.184
"Contrary to what many think, the richer someone is, the fewer kids they have. I am a rare exception. Most people I know have zero or one kid.",2022-05-24 14:03:00,0,1,0,0,0.2365,0.1688,0.5948,-2.744,1.416,0.009,0.564,0.069,-0.155
: It’s ideal for travel or camping to any location internet access has been unreliable or completely unavailable →,2022-05-24 17:17:00,0,0,0,1,0.0413,0.515,0.4438,-2.158,1.175,0.002,0.42,0.141,-0.167
: “Astronomical Waste” Likely the most important paper ever written:,2022-05-24 18:46:00,0,0,0,1,0.8796,0.0075,0.1129,-1.803,0.075,0.004,0.878,0.073,-1.335
The Iron Man statue was given to SpaceX because part of Iron Man 2 was filmed in the rocket factory,2022-05-25 17:06:00,0,1,0,0,0.1339,0.01,0.856,2.404,-0.381,0.001,0.698,0.609,1.45
"Indeed I did. However, I also think that Tesla has the potential to be the most valuable company ever. When Tesla’s market cap, making sustainable energy products, exceeds that of Aramco, producing fossil fuels, you know the future will be good for Earth.",2022-05-25 17:37:00,1,1,0,0,0.9697,0.0039,0.0264,1.277,1.864,0.001,0.361,0.614,0.982
That’s a good point. One could simply have a few reference human genomes and simply code each individual with a lossless compression delta! Could probably fit the DNA sequences of all humans alive today in a fairly small data storage system.,2022-05-25 17:53:00,0,1,0,0,0.7246,0.0122,0.2632,-0.811,0.202,0.002,0.572,0.0,-1.531
: Falcon 9’s first stage has landed on Landing Zone 1 – SpaceX’s 22nd launch and landing of 2022!,2022-05-25 19:13:00,0,0,0,1,0.676,0.0032,0.3208,1.043,-0.351,0.002,0.262,0.684,-0.314
"With int/dex talismans & physick. Throw moon to lower magic negation, followed by comet takes out almost anything fast.",2022-05-25 19:27:00,0,1,0,0,0.0759,0.1897,0.7344,0.328,1.871,0.001,0.142,0.777,1.547
"I’m a fan of Jack btw. Wish he would stay on the board, but I understand that he needs to move on.",2022-05-26 17:23:00,0,1,0,0,0.5611,0.0434,0.3955,-2.639,1.336,0.002,0.411,0.0,-0.834
I have so much respect for the Tesla Shanghai team,2022-05-26 19:18:00,1,1,0,0,0.955,0.0103,0.0347,-3.498,2.472,0.003,0.382,0.0,-0.68
"Tesla merch can be bought with Doge, soon SpaceX merch too",2022-05-27 15:27:00,1,0,0,0,0.3471,0.0076,0.6453,-2.113,1.243,0.001,0.387,0.0,2.944
Tesla will not put a manufacturing plant in any location where we are not allowed first to sell & service cars,2022-05-27 16:05:00,1,1,0,0,0.0176,0.6133,0.3691,-1.23,-0.74,0.001,0.294,0.126,0.168
"My kids wrote better code when they were 12 than the nonsense script Jackson sent me. Like I said, if it’s so great, he should share it with the world and make everyone’s experience with Twitter better. If he does, you will see what I mean. Jackson Palmer is a tool.",2022-05-31 13:45:00,0,1,0,0,0.2334,0.4601,0.3065,-1.939,0.332,0.009,0.341,0.28,0.498
"Maybe if they do the opposite, Twitter will be a much better experience – just an idea",2022-05-31 14:15:00,0,1,0,0,0.3959,0.094,0.5101,0.761,-0.812,0.003,0.3,1.0,3.576
"For AI and most things, Python. JavaScript for web stuff. For high performance or tight code, C/C++, spiced up with some assembly.",2022-05-31 15:32:00,0,1,0,0,0.2276,0.0355,0.7369,-2.834,-0.635,0.003,0.41,0.163,0.075
And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,2022-05-31 17:56:00,0,1,0,0,0.0161,0.7044,0.2795,2.543,0.524,0.003,0.567,1.0,1.976
You’re humble bro. Billy’s sense of humor & irreverence is a big part of why people love Dogecoin.,2022-05-31 18:09:00,0,1,0,0,0.9397,0.0098,0.0506,-1.283,-0.319,0.002,0.358,0.377,0.093
Tesla scores 100/100 for 7th year in a row for LGBTQ equality,2022-06-01 15:58:00,1,0,0,0,0.9426,0.0022,0.0552,0.065,-3.188,0.001,0.584,0.594,-0.878
"Everyone eats same food, uses same restrooms, etc – no executive chef or other ivory tower stuff. There shouldn’t be this workers vs management two-class system. Everyone is a worker.",2022-06-02 16:45:00,0,1,0,0,0.0848,0.1816,0.7336,-3.13,3.118,0.004,0.472,0.0,-0.714
"Thanks, and also well done to you for advancing electric vehicles!",2022-06-03 14:01:00,0,1,0,0,0.9795,0.003,0.0175,2.906,0.187,0.005,0.191,1.0,1.823
"There are still some great journalists at WaPo, but the trend is super bad",2022-06-06 15:33:00,0,1,0,0,0.0196,0.8681,0.1123,-0.118,-2.139,0.001,0.236,0.687,2.435
"Yeah, exactly. Also, other companies are using the Tesla name for solar and Powerwall. Will put a stop to that.",2022-06-07 15:37:00,1,1,0,0,0.0439,0.475,0.4811,-2.912,-0.1,0.001,0.284,0.21,2.027
"If the average length of a tweet (minus headers) is ~100 bytes of text, that’s only 50GB. You could fit it on a USB stick.",2022-06-09 16:43:00,0,1,0,0,0.1001,0.1872,0.7127,2.274,1.522,0.001,0.385,1.0,4.082
Crazy damages claims like this are a big part of why car insurance costs so much,2022-06-10 17:44:00,0,1,0,0,0.0069,0.909,0.0841,2.732,1.032,0.002,0.442,0.86,2.608
"I’m told that no ocelot has been seen in the Boca Chica area for ~40 years. We have many motion-activated cameras around Starbase – thousands of clips of coyotes, dogs & cats, but no ocelots.",2022-06-14 16:09:00,0,1,0,0,0.0546,0.3521,0.5933,-2.583,-1.443,0.003,0.331,0.139,-0.261
"This is highly unusual btw. Statistically, the richer someone is, the fewer kids they have.",2022-06-14 16:52:00,0,1,0,0,0.0747,0.2661,0.6592,1.919,0.931,0.002,0.371,0.77,1.298
"Buyers of competing electric cars receive a $7500 tax credit, but Tesla does not",2022-06-15 14:33:00,1,1,0,0,0.0661,0.2112,0.7227,-1.58,-1.901,0.003,0.429,0.103,-1.865
"Yeah, it’s crazy. Model 3 has the most US content of any car made today.",2022-06-15 14:51:00,1,1,0,0,0.8564,0.0118,0.1318,1.348,-2.02,0.002,0.321,0.765,0.167
"So far, the entire history of human civilization is just a flash in the pan, but there is potential to last much longer",2022-06-15 15:17:00,0,1,0,0,0.0927,0.5068,0.4005,2.12,0.64,0.002,0.428,1.0,2.566
Original Top Gun is a great movie. Just rewatched. Looking forward to seeing the sequel.,2022-06-15 17:17:00,0,0,0,0,0.9864,0.0032,0.0104,2.343,0.996,0.001,0.156,0.765,2.067
"It’s a bigger risk than AI, so I’d put it at #1. If these trends continue, humanity will cease to exist.",2022-06-16 14:30:00,0,1,0,0,0.0168,0.8084,0.1748,2.999,-0.544,0.002,0.301,1.0,1.931
The Austin airport needs to be upgraded as fast as possible,2022-06-16 17:17:00,0,1,0,0,0.1715,0.2491,0.5794,-2.493,-3.007,0.001,0.362,0.025,-1.875
"Also, In Sink band should let in a tiny sink",2022-06-16 19:19:00,0,1,0,0,0.2241,0.0367,0.7393,-2.153,-2.807,0.002,0.368,0.316,2.212
: Watch Falcon 9 launch 53 Starlink satellites to low-Earth orbit →,2022-06-17 16:17:00,0,0,0,1,0.0674,0.008,0.9246,1.912,-0.451,0.002,0.268,0.954,0.307
"Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship – marking SpaceX’s first 13th flight of a first stage booster and 100th successful mission with a flight proven orbital class rocket! Our best landing video to date, thanks to Starlink!",2022-06-17 17:09:00,0,0,1,0,0.9654,0.002,0.0325,2.662,1.099,0.002,0.501,1.0,3.328
"While bleak posts maybe generate more clicks, more happier moments in history would be nice",2022-07-05 13:46:00,0,1,0,0,0.7282,0.0523,0.2195,1.472,-0.496,0.002,0.284,1.0,1.351
"His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",2022-07-05 14:00:00,0,1,0,0,0.9801,0.0047,0.0152,1.296,-1.531,0.002,0.318,1.0,1.813
Sock tech is so advanced that you can get pretty much anything in sock form these days!,2022-07-05 17:38:00,0,1,0,0,0.9411,0.0049,0.054,2.57,1.126,0.003,0.351,0.947,2.325
Can you say more about this: “… pressures that the government may have placed on Twitter …”,2022-07-06 16:25:00,0,1,0,0,0.0144,0.1233,0.8623,-3.223,-1.107,0.001,0.3,0.0,-0.08
"The world is actually vastly better than Orwell imagined, but there is also vastly more surveillance",2022-07-06 19:26:00,0,1,0,0,0.8239,0.0307,0.1454,1.414,1.679,0.001,0.396,0.477,-0.282
"“Wait A Minute, Doc. Are You Telling Me You Built A Time Machine...Out Of A DeLorean?” – Back to the Future",2022-07-07 13:43:00,0,1,0,0,0.0801,0.0252,0.8948,3.169,-2.94,0.002,0.366,1.0,5.979
Doing my best to help the underpopulation crisis. A collapsing birth rate is the biggest danger civilization faces by far.,2022-07-07 14:04:00,0,0,0,0,0.0299,0.752,0.2181,-2.191,-2.602,0.002,0.27,0.0,1.333
"Maybe with an optional solar power canopy that extends both sides of the van, tripling roof area",2022-07-07 17:50:00,0,1,0,0,0.1063,0.029,0.8647,-1.966,0.64,0.0,0.49,0.0,2.476
": In addition to withstanding extreme cold, heat, hail, sleet, heavy rain, and gale force winds, Starlink is rugged enough to wit…",2022-07-07 19:29:00,0,0,0,1,0.178,0.2338,0.5883,-1.329,0.926,0.001,0.403,0.36,0.547
